cancer	standard_drug_name	hpo_term	go_term	2019_None
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005730	180970000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005737	2003940000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005739	356078000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005783	146868000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005794	182854000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005813	138715000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005829	2705130000.0
breast_cancer	PALBOCICLIB	HP:0002240	GO:0005886	951852000.0
breast_cancer	PALBOCICLIB	HP:0000260	GO:0005515	1834450000.0
breast_cancer	PALBOCICLIB	HP:0000260	GO:0005634	270985000.0
breast_cancer	PALBOCICLIB	HP:0000260	GO:0005654	143123000.0
breast_cancer	PALBOCICLIB	HP:0000260	GO:0005737	129086000.0
breast_cancer	PALBOCICLIB	HP:0000260	GO:0005829	188686000.0
breast_cancer	PALBOCICLIB	HP:0002719	GO:0005515	1748920000.0
breast_cancer	PALBOCICLIB	HP:0002719	GO:0005634	329308000.0
breast_cancer	PALBOCICLIB	HP:0002719	GO:0005654	185037000.0
breast_cancer	PALBOCICLIB	HP:0002719	GO:0005737	181954000.0
breast_cancer	PALBOCICLIB	HP:0002719	GO:0005829	245653000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0010628	92585600.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0140030	216367000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0016604	103232000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0019899	355559000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0019904	262979000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0030674	222803000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0042393	228888000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0042802	1269710000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0042803	311965000.0
breast_cancer	PALBOCICLIB	HP:0000286	GO:0045892	191316000.0
